Distance,Height,Angle,PathLoss,
421.38,1.88,0,NaN,83.041272416
421.3,1.88,0,99.601,83.1363748263
421.24,1.88,0,99.67,83.2074566952
421.17,1.88,0,99.542,83.2901204412
421.1,1.88,0,99.537,83.3724989557
421.03,1.88,0,NaN,83.4545925197
420.96,1.88,0,99.564,83.5364014203
420.89,1.88,0,99.585,83.617925951
420.82,1.88,0,99.64,83.6991664114
420.75,1.88,0,99.612,83.7801231071
420.68,1.88,0,99.468,83.8607963499
420.61,1.88,0,99.434,83.9411864574
420.54,1.88,0,NaN,84.0212937531
420.46,1.88,0,99.587,84.1124990709
420.39,1.88,0,NaN,84.1920014582
420.24,1.88,0,99.436,84.3614153892
420.17,1.88,0,99.42,84.4400334319
420.1,1.88,0,NaN,84.5183708287
420.02,1.88,0,99.505,84.6075561024
419.95,1.88,0,NaN,84.6852933508
419.8,1.88,0,99.417,84.8509325509
419.73,1.88,0,99.501,84.9277927244
419.66,1.88,0,99.425,85.0043746354
419.58,1.88,0,NaN,85.0915566009
419.43,1.88,0,NaN,85.2540466959
419.27,1.88,0,NaN,85.4259700439
419.19,1.88,0,99.448,85.5113915412
419.12,1.88,0,99.479,85.585840622
419.04,1.88,0,99.447,85.6705890371
418.97,1.88,0,99.473,85.7444501782
418.89,1.88,0,NaN,85.828527827
418.81,1.88,0,NaN,85.9122486987
418.73,1.88,0,99.439,85.9956134742
418.65,1.88,0,NaN,86.0786228425
418.57,1.88,0,99.477,86.1612774998
418.49,1.88,0,99.445,86.2435781497
418.42,1.88,0,NaN,86.3153013803
418.33,1.88,0,NaN,86.407120278
418.09,1.88,0,99.42,86.6497964189
418.01,1.88,0,NaN,86.7299882012
417.84,1.88,0,NaN,86.8992382803
417.76,1.88,0,NaN,86.9783423288
417.59,1.88,0,NaN,87.1452889451
417.5,1.88,0,99.571,87.2330415807
417.42,1.88,0,NaN,87.3106784557
417.33,1.88,0,99.625,87.3976098229
417.25,1.88,0,99.592,87.4745184915
417.17,1.88,0,99.474,87.5510857384
417.09,1.88,0,99.396,87.6273123802
417,1.88,0,99.536,87.7126612466
416.92,1.88,0,99.409,87.788166839
416.83,1.88,0,99.404,87.872706635
416.75,1.88,0,99.618,87.9474949421
416.66,1.88,0,99.346,88.0312299308
416.58,1.88,0,NaN,88.1053047666
